thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,text.started,Instructions.stopped,trial.started,Fixation.started,key_resp.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,rating.started,slider.started,text_2.started,rating.stopped,trials.slider.response,trials.slider.rt,Thankyou.started,text_3.started,text_3.stopped,Thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
56,0,56,down,1,0.6002984000078868,None,5,5,3.0967410000012023,56,0,56,0,207.11959450000722,,,,,207.10141289999592,207.11959450000722,208.10329379999894,208.11682969999674,208.7174284000066,down,1,0.6002984000078868,None,5,208.72048550000181,208.7332507000101,208.7332507000101,211.83360290000564,5,3.0967410000012023,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
57,0,57,down,1,1.1128303000004962,None,5,5,1.5788517000037245,57,0,57,0,211.8524888999964,,,,,211.83388269999705,211.8524888999964,212.8359771999967,212.84951630000432,213.95099350000964,down,1,1.1128303000004962,None,5,213.95504519999668,213.96610489999875,213.96610489999875,215.5500508999976,5,1.5788517000037245,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
58,0,58,up,1,1.2160237999923993,None,0,3.011111111111111,1.9456852000002982,58,0,58,0,215.5690462000057,,,,,215.5503366000048,215.5690462000057,216.55248030000075,216.56604459999653,217.7837056999997,up,1,1.2160237999923993,None,0,217.78759390000778,217.7992277000012,217.7992277000012,219.74969749999582,3.011111111111111,1.9456852000002982,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
59,0,59,down,1,0.6729794999992009,None,3,5,1.2620289000042249,59,0,59,0,219.76836810000532,,,,,219.74992000000202,219.76836810000532,220.75168319999648,220.7653333000053,221.4335141000047,down,1,0.6729794999992009,None,3,221.4377533000079,221.44870410001022,221.44870410001022,222.71573280000302,5,1.2620289000042249,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
60,0,60,down,1,0.7105098000029102,None,-9,5,1.646086299995659,60,0,60,0,222.73509780000313,,,,,222.71592390000296,222.73509780000313,223.71827219999977,223.73183699999936,224.4333350000088,down,1,0.7105098000029102,None,-9,224.43635370000266,224.448467299997,224.448467299997,226.09876560000703,5,1.646086299995659,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
61,0,61,up,1,0.7955877999920631,None,0,5,1.1572443000040948,61,0,61,0,226.11806600001,,,,,226.0989258000045,226.11806600001,227.1013338000048,227.114611099998,227.90047799999593,up,1,0.7955877999920631,None,0,227.90820910000184,227.9195238000102,227.9195238000102,229.08215670000936,5,1.1572443000040948,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
62,0,62,down,1,0.632042299999739,None,-2,4.022222222222222,2.2804873999994015,62,0,62,0,229.10108110000147,,,,,229.08236080000643,229.10108110000147,230.08433520000835,230.09782500000438,230.731646500004,down,1,0.632042299999739,None,-2,230.73510879999958,230.74772690000827,230.74772690000827,233.03188399999635,4.022222222222222,2.2804873999994015,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
63,0,63,down,1,0.9457287999975961,None,-5,4.003703703703704,1.275605100003304,63,0,63,0,233.0505994999985,,,,,233.03210959999706,233.0505994999985,234.03396420000354,234.0474314000021,234.98345010000048,down,1,0.9457287999975961,None,-5,234.98982990000513,235.00102199999674,235.00102199999674,236.28127320000203,4.003703703703704,1.275605100003304,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
64,0,64,up,1,0.7442541999917012,None,0,5,1.2625229999976,64,0,64,0,236.30011959999683,,,,,236.28143380000256,236.30011959999683,237.28370539999742,237.2972854999971,238.03182129999914,up,1,0.7442541999917012,None,0,238.03531790000852,238.047109799998,238.047109799998,239.31460130000778,5,1.2625229999976,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
65,0,65,down,1,0.8535121000022627,None,5,4.051851851851852,2.811326300012297,65,0,65,0,239.3334162000101,,,,,239.31480310000188,239.3334162000101,240.3167902999994,240.33019710000372,241.18145560000266,down,1,0.8535121000022627,None,5,241.1859964000032,241.19741999999678,241.19741999999678,244.01355499999772,4.051851851851852,2.811326300012297,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
