pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,seq.thisRepN,seq.thisTrialN,seq.thisN,seq.thisIndex,ran.thisRepN,ran.thisTrialN,ran.thisN,ran.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,seq.key_resp.keys,seq.key_resp.corr,seq.key_resp.rt,seq.key_resp.duration,trial2.started,fixation2.started,lineA.started,lineB.started,lineC.started,lineD.started,fixation2.stopped,probe2.started,key_resp_2.started,trial2.stopped,ran.key_resp_2.keys,ran.key_resp_2.corr,ran.key_resp_2.rt,ran.key_resp_2.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,89,89,21,,,,,x,1,0.6495942999608815,None,,,,,21,89,89,0,806.0798354999861,,,,,,,,,,,,,,,,806.0653748999466,806.0798354999861,807.0801582999993,807.0801582999993,807.0801582999993,807.0801582999993,807.0801582999993,808.079476999992,808.079476999992,808.7306243999628,x,1,0.6495942999608815,None,02,001,2025-10-03_14h53.18.482,motorselection,,2025.1.1,60.01720092102189,2025-10-03 14h53.46.410391 +0530,
-50,x,90,90,22,,,,,x,1,0.42332950001582503,None,,,,,22,90,90,0,808.7462065999862,,,,,,,,,,,,,,,,808.731646100001,808.7462065999862,809.7465027999715,809.7465027999715,809.7465027999715,809.7465027999715,809.7465027999715,810.7458621999831,810.7458621999831,811.1801336999633,x,1,0.42332950001582503,None,02,001,2025-10-03_14h53.18.482,motorselection,,2025.1.1,60.01720092102189,2025-10-03 14h53.46.410391 +0530,
-150,z,91,91,20,,,,,z,1,0.5690046999952756,None,,,,,20,91,91,3,811.1958213999751,,,,,,,,,,,,,,,,811.1809245999902,811.1958213999751,812.1795885000029,812.1795885000029,812.1795885000029,812.1795885000029,812.1961854999536,813.1791190999793,813.1791190999793,813.7643055999652,z,1,0.5690046999952756,None,02,001,2025-10-03_14h53.18.482,motorselection,,2025.1.1,60.01720092102189,2025-10-03 14h53.46.410391 +0530,
50,c,92,92,26,,,,,c,1,0.9355280000017956,None,,,,,26,92,92,2,813.7794086999493,,,,,,,,,,,,,,,,813.7656484999461,813.7794086999493,814.7793315000017,814.7793315000017,814.7793315000017,814.7793315000017,814.7793315000017,815.7792336999555,815.7792336999555,816.7303836999927,c,1,0.9355280000017956,None,02,001,2025-10-03_14h53.18.482,motorselection,,2025.1.1,60.01720092102189,2025-10-03 14h53.46.410391 +0530,
-50,x,93,93,23,,,,,x,1,0.5905602999846451,None,,,,,23,93,93,0,816.7457729000016,,,,,,,,,,,,,,,,816.7316734999768,816.7457729000016,817.7456695999717,817.7456695999717,817.7456695999717,817.7456695999717,817.7456695999717,818.745588699996,818.745588699996,819.345996899996,x,1,0.5905602999846451,None,02,001,2025-10-03_14h53.18.482,motorselection,,2025.1.1,60.01720092102189,2025-10-03 14h53.46.410391 +0530,
150,v,94,94,22,,,,,v,1,0.5997976000071503,None,,,,,22,94,94,1,819.3617766999523,,,,,,,,,,,,,,,,819.3467608999927,819.3617766999523,820.3454330999521,820.3454330999521,820.3454330999521,820.3454330999521,820.362145299965,821.3453537999885,821.3453537999885,821.9462189999758,v,1,0.5997976000071503,None,02,001,2025-10-03_14h53.18.482,motorselection,,2025.1.1,60.01720092102189,2025-10-03 14h53.46.410391 +0530,
-50,x,95,95,24,,,,,x,1,0.7392125999904238,None,,,,,24,95,95,0,821.9615468999837,,,,,,,,,,,,,,,,821.947109599947,821.9615468999837,822.9619150999933,822.9619150999933,822.9619150999933,822.9619150999933,822.9619150999933,823.9450781999622,823.9450781999622,824.6965867999825,x,1,0.7392125999904238,None,02,001,2025-10-03_14h53.18.482,motorselection,,2025.1.1,60.01720092102189,2025-10-03 14h53.46.410391 +0530,
-50,x,96,96,25,,,,,x,1,0.48845170001732185,None,,,,,25,96,96,0,824.7116694999859,,,,,,,,,,,,,,,,824.6979172999854,824.7116694999859,825.7115073999739,825.7115073999739,825.7115073999739,825.7115073999739,825.7115073999739,826.7114863999886,826.7114863999886,827.2120829999913,x,1,0.48845170001732185,None,02,001,2025-10-03_14h53.18.482,motorselection,,2025.1.1,60.01720092102189,2025-10-03 14h53.46.410391 +0530,
50,c,97,97,27,,,,,c,1,0.5590163000160828,None,,,,,27,97,97,2,827.2276991999825,,,,,,,,,,,,,,,,827.2129082999891,827.2276991999825,828.2280807999778,828.2280807999778,828.2280807999778,828.2280807999778,828.2280807999778,829.2270753999474,829.2270753999474,829.7941161999479,c,1,0.5590163000160828,None,02,001,2025-10-03_14h53.18.482,motorselection,,2025.1.1,60.01720092102189,2025-10-03 14h53.46.410391 +0530,
-150,z,98,98,21,,,,,z,1,0.4896201000083238,None,,,,,21,98,98,3,829.810244399996,,,,,,,,,,,,,,,,829.7945824999479,829.810244399996,830.7934611999663,830.7934611999663,830.7934611999663,830.7934611999663,830.8101248999592,831.7933735999977,831.7933735999977,832.293625899998,z,1,0.4896201000083238,None,02,001,2025-10-03_14h53.18.482,motorselection,,2025.1.1,60.01720092102189,2025-10-03 14h53.46.410391 +0530,
