imagefile,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,text.started,key_resp_2.started,Instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,Fixation.started,image.started,Fixation.stopped,image.stopped,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,rating.started,slider.started,text_2.started,rating.stopped,trials.slider.response,trials.slider.rt,Thankyou.started,text_3.started,text_3.stopped,Thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
D:\sadimage2.jpeg,37,9,2,up,0,0.9003499000100419,None,2,3.0148148148148146,2.5312969000078738,2,9,37,8,202.02649550000206,,,,,,,,,202.0105466999812,202.02649550000206,203.01029409992043,203.02326279995032,203.5230025999481,203.62340799998492,204.5404215999879,up,0,0.9003499000100419,None,2,204.54346650000662,204.55654259992298,204.55654259992298,207.09025659994222,3.0148148148148146,2.5312969000078738,,,,,emo04,001,2025-11-17_16h44.52.779,solo project_version2,,2025.1.1,59.721102441479964,2025-11-17 16h45.10.999511 +0530,
D:\happyimage4.jpeg,38,10,2,up,1,1.087589000002481,None,0,5,2.6460232000099495,2,10,38,3,207.10973319993354,,,,,,,,,207.10173260001466,207.10973319993354,208.09298489999492,208.1066435999237,208.6059513000073,208.70617759996094,209.8072348999558,up,1,1.087589000002481,None,0,209.81071180000436,209.82270059990697,209.82270059990697,212.4729643999599,5,2.6460232000099495,,,,,emo04,001,2025-11-17_16h44.52.779,solo project_version2,,2025.1.1,59.721102441479964,2025-11-17 16h45.10.999511 +0530,
D:\sadimage6.jpeg,39,11,2,up,1,1.195962900063023,None,0,2.0,3.7953788000158966,2,11,39,12,212.49276069994085,,,,,,,,,212.4755350999767,212.49276069994085,213.47554809995927,213.48934470000677,213.98881579993758,214.0724567999132,215.2733846999472,up,1,1.195962900063023,None,0,215.2775162999751,215.28872939990833,215.28872939990833,219.08888739999384,2.0,3.7953788000158966,,,,,emo04,001,2025-11-17_16h44.52.779,solo project_version2,,2025.1.1,59.721102441479964,2025-11-17 16h45.10.999511 +0530,
D:\sadimage3.jpeg,40,12,2,up,1,0.6980176001088694,None,0,3.0074074074074075,1.2796311000129208,2,12,40,9,219.10872109991033,,,,,,,,,219.0912664999487,219.10872109991033,220.09170539991464,220.10537449992262,220.60478799999692,220.68825849995483,221.38916999998037,up,1,0.6980176001088694,None,0,221.39276959991548,221.4049071999034,221.4049071999034,222.68855929991696,3.0074074074074075,1.2796311000129208,,,,,emo04,001,2025-11-17_16h44.52.779,solo project_version2,,2025.1.1,59.721102441479964,2025-11-17 16h45.10.999511 +0530,
D:\happyimage6.jpeg,41,13,2,up,0,0.6142172000836581,None,0,5,1.4974882999667898,2,13,41,5,222.70812349999323,,,,,,,,,222.69090629997663,222.70812349999323,223.69147700001486,223.70515840000007,224.20439769991208,224.28789219993632,224.9053979999153,up,0,0.6142172000836581,None,0,224.9092255999567,224.92102639994118,224.92102639994118,226.42156719998457,5,1.4974882999667898,,,,,emo04,001,2025-11-17_16h44.52.779,solo project_version2,,2025.1.1,59.721102441479964,2025-11-17 16h45.10.999511 +0530,
D:\sadimage5.jpeg,42,0,3,up,1,0.7179894999135286,None,0,4.033333333333333,2.5951205000746995,3,0,42,11,226.44131499994546,,,,,,,,,226.4237768999301,226.44131499994546,227.42431809997652,227.43802189989947,227.9376127999276,228.02113139990252,228.755307000014,up,1,0.7179894999135286,None,0,228.7596113999607,228.77102469990496,228.77102469990496,231.37116469989996,4.033333333333333,2.5951205000746995,,,,,emo04,001,2025-11-17_16h44.52.779,solo project_version2,,2025.1.1,59.721102441479964,2025-11-17 16h45.10.999511 +0530,
D:\happyimage1.jpeg,43,1,3,up,1,0.6548872999846935,None,0,4.011111111111111,2.379332000040449,3,1,43,0,231.39078009990044,,,,,,,,,231.37343529995997,231.39078009990044,232.37375559995417,232.38743809994776,232.88705569994636,232.97040369990282,233.63806769996881,up,1,0.6548872999846935,None,0,233.64148120000027,233.65348499990068,233.65348499990068,236.03753769991454,4.011111111111111,2.379332000040449,,,,,emo04,001,2025-11-17_16h44.52.779,solo project_version2,,2025.1.1,59.721102441479964,2025-11-17 16h45.10.999511 +0530,
D:\happyimage6.jpeg,44,2,3,down,1,0.5233675000490621,None,-8,5,1.2787774000316858,3,2,44,5,236.0565179999685,,,,,,,,,236.03997769998387,236.0565179999685,237.04037930001505,237.05415919993538,237.55295289994683,237.65341429994442,238.1877723999787,down,1,0.5233675000490621,None,-8,238.19179369998164,238.20333669998217,238.20333669998217,239.48689479997847,5,1.2787774000316858,,,,,emo04,001,2025-11-17_16h44.52.779,solo project_version2,,2025.1.1,59.721102441479964,2025-11-17 16h45.10.999511 +0530,
D:\sadimage1.jpeg,45,3,3,down,1,1.6429741999600083,None,-3,2.011111111111111,3.8775724000297487,3,3,45,7,239.50623279996216,,,,,,,,,239.48947659996338,239.50623279996216,240.48982359992806,240.50337579997722,241.00294749997556,241.0863570999354,242.7378977999324,down,1,1.6429741999600083,None,-3,242.7426678999327,242.75614610000048,242.75614610000048,246.63639100000728,2.011111111111111,3.8775724000297487,,,,,emo04,001,2025-11-17_16h44.52.779,solo project_version2,,2025.1.1,59.721102441479964,2025-11-17 16h45.10.999511 +0530,
D:\sadimage2.jpeg,46,4,3,up,1,0.8536329000489786,None,0,2.977777777777778,1.9978106999769807,3,4,46,8,246.6553870999487,,,,,,,,,246.6390640999889,246.6553870999487,247.63928100001067,247.65283879998606,248.15201749990229,248.2356095999712,249.10290099994745,up,1,0.8536329000489786,None,0,249.1061271999497,249.11877259996254,249.11877259996254,251.11948849994224,2.977777777777778,1.9978106999769807,,,,,emo04,001,2025-11-17_16h44.52.779,solo project_version2,,2025.1.1,59.721102441479964,2025-11-17 16h45.10.999511 +0530,
